reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1e60bda0-059e-4650-a3e1-11b30051f242,Leo Diaz,https://play-lh.googleusercontent.com/a-/ALV-UjUsiXLvn9RyksDmFTYH9wJ4qsjMhWT629TroQ5jo06xhtN3AtjR,"it doesn't keep your stuff when you delete and download it,it rest my whole account and I hate this game",1,0,,2026-03-17 00:54:52,"Thank you for sharing your experience. Losing progress after reinstalling the game can be disheartening. Your feedback is valuable, and we’d love to hear more. Please reach out to our support team via the in-game Help section (Settings → Support). We look forward to assisting you!",2026-03-17 02:35:10,
415c6293-5ab6-4db6-8a71-93c9c00ef898,Ryan Klutts,https://play-lh.googleusercontent.com/a-/ALV-UjWhxsVINSygFVYvHCk1xBOPFh2ECtl2z-l8PHRoPCkTGG23HZp2,fun and play offline,5,0,3.60.0,2026-03-17 00:35:12,,,3.60.0
d1fdcb36-4b97-4fde-9e57-fb0d813cad09,ellen yeboah,https://play-lh.googleusercontent.com/a/ACg8ocJZioQdlsNzjHdIWo3RHpkXwN87_qTgHlvr11wBaN7bnvkImg=mo,cool,5,0,,2026-03-16 23:37:53,,,
2a82c3be-e067-4624-b220-f1dc8b23fd3b,Noah Tarpley,https://play-lh.googleusercontent.com/a/ACg8ocIiLAD61U0w5A5xedyn6NK9R4KxsEOjeex4eiC-Ui_ws4CfXw=mo,Amazing.,5,0,3.60.0,2026-03-16 23:19:20,,,3.60.0
a48bfa0a-5a36-48b7-b105-ba603b8106cf,Aisha Sumaiya,https://play-lh.googleusercontent.com/a/ACg8ocJKa2XqUtDgQeDhsXe6VPKp4CDLdLQpm3G6jf5pDkI7PLOOww=mo,no words,5,0,3.49.0,2026-03-16 22:54:12,,,3.49.0
d92bbf82-4306-4597-b5c4-9ca4c568744e,Ahmadabalrahman Ahmad,https://play-lh.googleusercontent.com/a/ACg8ocIYRqRudh3IM6P3lTxmgTuI-j72lPk7zL8Va5WERiwcFAQp2w=mo,it's good,5,0,3.60.0,2026-03-16 22:44:36,,,3.60.0
eb1d7ac9-a443-4ec6-8150-83b9885b9a73,Wareesha Khan,https://play-lh.googleusercontent.com/a/ACg8ocJ93Uv5mr9gKN8M60guWdUZAmONzR7Nsid6tWwXSAHu-oT_fks=mo,Beautiful game 🎮,5,0,3.24.1,2026-03-16 21:57:08,,,3.24.1
8856f274-576f-4487-b2de-a088a78e7084,Aqil Aqil,https://play-lh.googleusercontent.com/a/ACg8ocJV9xIvmLMNYS9XqabHV95s0JDSE9pLeFirZQgAhWAorCp4kQ=mo,mekaniknya lumayan terus seruh juga,5,0,3.60.0,2026-03-16 21:41:34,,,3.60.0
ffebe637-3457-4074-93bd-c14fbc638615,Ramlat Kabir wada,https://play-lh.googleusercontent.com/a/ACg8ocJgC3LMx9nZdJopTBHGCA9iPwX5X_dThlKEnePoGksDQv_FKA=mo,I love this game it deserves 5 stars and works on all phones,5,0,,2026-03-16 21:04:13,,,
de16c7f5-901a-4c34-a74d-db6912ed0087,Tomilola Aribo,https://play-lh.googleusercontent.com/a-/ALV-UjU47Gh4RBszJ4yHoVK8zsutHssHkNHklYzV65we5Jny9sAViCg,"This game is a straight 10, to be honest. always and will always look to download it whenever I switch phones or just for offline entertainment. I have no complaints so far because being able to access the game while offline is another level of privilege that other games don't allow. 5 🌟 from me 🙌",5,0,3.60.0,2026-03-16 21:00:34,,,3.60.0
